fma,fma_area_mi_med,num_incidents_med,incidents_per_sqmi_med,num_incidents_fire,incidents_per_sqmi_fire,med_fire_ratio,num_incidents,weekly_total_incs,weekly_med_incs,weekly_fire_incs
1,1.02440732455297,33984,33174.3039955615,837,817.057804975428,40.60215053763441,43139,513.5595238095239,404.57142857142856,9.964285714285714
30,4.16306450201977,16836,4044.13623469725,456,109.534694881322,36.921052631578945,21593,257.0595238095238,200.42857142857142,5.428571428571429
29,6.61066185976951,10540,1594.39405971484,357,54.0036697645351,29.523809523809526,14208,169.14285714285714,125.47619047619048,4.25
7,5.70456000141091,32937,5773.80200959473,1191,208.780344094098,27.65491183879093,42676,508.04761904761904,392.10714285714283,14.178571428571429
31,4.22098842545387,12722,3013.98599514806,472,111.822149796406,26.953389830508474,24451,291.0833333333333,151.45238095238096,5.619047619047619
16,2.17788162745848,3260,1496.867395775,123,56.4768986749464,26.504065040650406,4780,56.904761904761905,38.80952380952381,1.4642857142857142
25,5.00309955830326,16688,3335.53226465466,638,127.520948277186,26.156739811912225,22742,270.73809523809524,198.66666666666666,7.595238095238095
18,6.16269358040341,8852,1436.38489964003,340,55.1706807362867,26.03529411764706,12292,146.33333333333334,105.38095238095238,4.0476190476190474
4,2.36752399140509,20167,8518.18189518374,840,354.801050823342,24.008333333333333,29829,355.10714285714283,240.08333333333334,10.0
5,4.04720774648387,5300,1309.5448348567,226,55.8409684297387,23.451327433628318,7834,93.26190476190476,63.095238095238095,2.6904761904761907
19,4.18803162519497,15518,3705.32063479286,669,159.740914078903,23.195814648729446,21263,253.13095238095238,184.73809523809524,7.964285714285714
28,3.82028825261447,11034,2888.26373047864,487,127.477291711356,22.657084188911703,15493,184.4404761904762,131.35714285714286,5.7976190476190474
11,5.30650909064426,22245,4192.02146270125,1021,192.405210762777,21.787463271302645,30118,358.54761904761904,264.82142857142856,12.154761904761905
3,2.44435223084771,19821,8108.89680703914,934,382.10532353436,21.221627408993577,30723,365.75,235.96428571428572,11.119047619047619
2,14.3995466462402,9068,629.742048328145,434,30.1398377783872,20.89400921658986,12804,152.42857142857142,107.95238095238095,5.166666666666667
13,3.33527528051072,20171,6047.77666115501,973,291.730042700106,20.730729701952722,29499,351.17857142857144,240.13095238095238,11.583333333333334
12,8.09347703731121,11438,1413.23685077136,557,68.8208538100758,20.53500897666068,16259,193.5595238095238,136.16666666666666,6.630952380952381
26,3.24621543024625,8520,2624.59475751851,421,129.689482736537,20.237529691211403,11571,137.75,101.42857142857143,5.011904761904762
20,4.67290437516451,6968,1491.14970916876,355,75.9698832885922,19.628169014084506,10183,121.22619047619048,82.95238095238095,4.226190476190476
9,3.45164032794958,11703,3390.56184540295,597,172.961242562212,19.603015075376884,16371,194.89285714285714,139.32142857142858,7.107142857142857
22,15.1622368383818,9387,619.103902679957,495,32.6468980320208,18.963636363636365,13980,166.42857142857142,111.75,5.892857142857143
24,4.301167987466,9606,2233.34685555012,509,118.339948935562,18.87229862475442,14247,169.60714285714286,114.35714285714286,6.059523809523809
14,8.02072685615906,12988,1619.30461327537,706,88.0219477188489,18.39660056657224,18894,224.92857142857142,154.61904761904762,8.404761904761905
8,3.6734422190861,9199,2504.19074300523,509,138.562135904953,18.072691552062867,12831,152.75,109.51190476190476,6.059523809523809
21,0.952173210770585,9233,9696.7651426864,561,589.178516738554,16.458110516934045,12641,150.48809523809524,109.91666666666667,6.678571428571429
15,2.32308193460249,1320,568.210694740677,83,35.7283997450578,15.903614457831326,2808,33.42857142857143,15.714285714285714,0.9880952380952381
23,2.00292662144043,4764,2378.51948693652,300,149.78082411439,15.88,7118,84.73809523809524,56.714285714285715,3.5714285714285716
10,4.25501098875174,2108,495.415876850275,137,32.1973316548803,15.386861313868613,3770,44.88095238095238,25.095238095238095,1.630952380952381
17,13.6860795990116,5218,381.263309353896,454,33.1723921898561,11.493392070484582,8104,96.47619047619048,62.11904761904762,5.404761904761905
27,8.28773944484792,802,96.7694514694914,108,13.031297704121,7.425925925925926,1646,19.595238095238095,9.547619047619047,1.2857142857142858
6,3.29734042324997,1027,311.463139431552,159,48.2206807883319,6.459119496855346,2477,29.488095238095237,12.226190476190476,1.8928571428571428
